vpn,itlb_hit,dtlb_hit,stlb_hit,stlb_ptw
1002431,0,497,0,1
1002432,0,498,0,1
1002433,0,500,0,1
1002434,0,500,0,1
1002435,0,503,0,1
1002436,0,503,0,1
1002437,0,503,0,1
1002438,0,501,0,1
1002439,0,501,0,1
1002440,0,502,0,1
1002441,0,503,0,1
1002442,0,499,0,1
1002443,0,499,0,1
1002444,0,501,0,1
1002445,0,498,0,1
1002446,0,501,0,1
1002447,0,497,0,1
1002448,0,500,0,1
1002449,0,502,0,1
1002450,0,503,0,1
1002451,0,493,0,1
1002452,0,495,0,1
1002453,0,501,0,1
1002454,0,498,0,1
1002455,0,496,0,1
1002456,0,503,0,1
1002457,0,503,0,1
1002458,0,496,0,1
1002459,0,494,0,1
1002460,0,497,0,1
1002461,0,501,0,1
1002462,0,497,0,1
1002463,0,500,0,1
1002464,0,499,0,1
1002465,0,498,0,1
1002466,0,499,0,1
1002467,0,501,0,1
1002468,0,501,0,1
1002469,0,497,0,1
1002470,0,425,0,1
1002477,0,417,0,1
1002478,0,496,0,1
1002479,0,497,0,1
1002480,0,499,0,1
1002481,0,494,0,1
1002482,0,496,0,1
1002483,0,496,0,1
1002484,0,493,0,1
1002485,0,496,0,1
1002486,0,495,0,1
1002487,0,497,0,1
1002488,0,499,0,1
1002489,0,495,0,1
1002490,0,499,0,1
1002491,0,497,0,1
1002492,0,496,0,1
1002493,0,497,0,1
1002494,0,498,0,1
1002495,0,8,0,1
1002578,0,160,0,1
1002579,0,493,0,1
1002580,0,494,0,1
1002581,0,490,0,1
1002582,0,499,0,1
1002583,0,500,0,1
1002584,0,494,0,1
1002585,0,501,0,1
1002586,0,496,0,1
1002587,0,497,0,1
1002588,0,498,0,1
1002589,0,502,0,1
1002590,0,500,0,1
1002591,0,498,0,1
1002592,0,495,0,1
1002593,0,499,0,1
1002594,0,493,0,1
1002595,0,499,0,1
1002596,0,43,0,1
1002601,0,61,0,1
1002602,0,234,0,1
1002703,0,78,0,1
1002704,0,497,1,1
1002705,0,499,1,1
1002706,0,499,0,1
1002707,0,500,0,1
1002708,0,498,0,1
1002709,0,496,0,1
1002710,0,500,0,1
1002711,0,494,0,1
1002712,0,500,0,1
1002713,0,500,0,1
1002714,0,497,0,1
1002715,0,503,0,1
1002716,0,503,0,1
1002717,0,502,0,1
1002718,0,497,0,1
1002719,0,500,0,1
1002720,0,497,0,1
1002721,0,497,0,1
1002722,0,498,0,1
1002723,0,499,0,1
1002724,0,503,0,1
1002725,0,497,0,1
