vpn,itlb_hit,dtlb_hit,stlb_hit,stlb_ptw
209014,0,833,0,3
209015,0,784,0,3
209016,0,800,0,3
209017,0,821,0,3
209018,0,815,0,3
209019,0,796,0,3
209020,0,851,0,3
209021,0,835,0,3
209022,0,794,0,3
209023,0,809,0,3
209024,0,811,0,3
209025,0,810,0,3
209026,0,817,0,3
209027,0,790,0,3
209028,0,792,0,3
209029,0,821,0,3
209030,0,832,0,3
209031,0,844,0,3
209032,0,825,0,3
209033,0,842,0,3
209034,0,802,0,3
209035,0,826,0,3
209036,0,848,0,3
209037,0,822,0,4
209038,0,836,0,3
209039,0,797,0,3
209040,0,823,0,3
209041,0,806,0,3
209042,0,811,0,3
209043,0,805,0,3
209044,0,802,0,3
209045,0,799,0,3
209046,0,810,0,3
209047,0,811,0,3
209048,0,793,0,3
209049,0,848,0,3
209050,0,813,0,3
209051,0,845,0,3
209052,0,814,0,4
209053,0,815,0,3
209054,0,803,0,3
209055,0,807,0,3
209056,0,815,0,3
209057,0,809,0,3
209058,0,832,0,3
209059,0,831,0,4
209060,0,828,0,3
209061,0,816,0,3
209062,0,811,0,3
209063,0,822,0,3
209064,0,809,0,3
209065,0,824,0,3
209066,0,819,0,3
209067,0,835,0,3
209068,0,830,0,3
209069,0,806,0,3
209070,0,820,0,4
209071,0,837,0,3
209072,0,799,0,3
209073,0,815,0,3
209074,0,825,0,3
209075,0,834,0,4
209076,0,847,0,4
209077,0,856,0,4
209078,0,831,0,3
209079,0,850,0,3
209080,0,781,0,3
209081,0,842,0,3
209082,0,791,0,3
209083,0,819,0,3
209084,0,820,0,3
209085,0,793,0,4
209086,0,829,0,3
209087,0,811,0,3
209088,0,837,0,3
209089,0,821,0,3
209090,0,797,0,3
209091,0,812,0,3
209092,0,825,0,3
209093,0,829,0,3
209094,0,792,0,3
209095,0,814,0,3
209096,0,846,0,3
209097,0,814,0,3
209098,0,836,0,3
209099,0,812,0,3
209100,0,842,0,3
209101,0,805,0,3
209102,0,815,0,3
209103,0,835,0,3
209104,0,802,0,3
209105,0,803,0,3
209106,0,817,0,3
209107,0,814,0,4
209108,0,818,0,3
209109,0,781,0,4
209110,0,824,0,3
209111,0,815,0,3
209112,0,819,0,3
209113,0,824,0,3
209114,0,853,0,3
209115,0,805,0,3
209116,0,831,0,3
209117,0,837,0,3
209118,0,827,0,3
209119,0,813,0,3
209120,0,810,0,3
209121,0,828,0,3
209122,0,818,0,3
209123,0,831,0,3
209124,0,827,0,3
209125,0,793,0,3
209126,0,831,0,3
209127,0,834,0,3
209128,0,819,0,3
209129,0,825,0,3
209130,0,816,0,3
209131,0,830,0,3
209132,0,800,0,3
209133,0,828,0,3
209134,0,819,0,3
209135,0,804,0,3
209136,0,829,0,3
209137,0,825,0,3
209138,0,826,0,3
209139,0,815,1,3
209140,0,827,0,3
209141,0,811,0,3
209142,0,826,0,3
209143,0,837,0,3
209144,0,827,0,3
209145,0,837,0,3
209146,0,803,0,3
209147,0,819,0,3
209148,0,834,0,3
209149,0,826,0,3
209150,0,804,0,3
209151,0,828,0,3
209152,0,811,0,3
209153,0,820,0,3
209154,0,782,0,3
209155,0,794,0,3
209156,0,831,0,3
209157,0,817,0,3
209158,0,807,0,4
209159,0,805,0,4
209160,0,808,0,3
209161,0,856,0,3
209162,0,834,0,3
209163,0,828,0,3
209164,0,809,0,3
209165,0,830,0,3
209166,0,855,0,3
209167,0,808,0,3
209168,0,838,0,3
209169,0,792,0,3
209170,0,805,0,3
209171,0,831,0,4
209172,0,844,0,3
209173,0,823,0,3
209174,0,809,0,3
209175,0,829,0,3
209176,0,794,0,3
209177,0,810,0,3
209178,0,834,0,3
209179,0,827,0,3
209180,0,808,0,3
209181,0,799,0,3
209182,0,821,0,3
209183,0,824,0,3
209184,0,817,0,3
209185,0,791,0,3
209186,0,816,0,3
209187,0,828,0,3
209188,0,818,0,3
209189,0,806,0,3
209190,0,805,0,3
209191,0,830,0,3
209192,0,815,0,3
209193,0,824,0,3
209194,0,824,0,3
209195,0,793,0,3
209196,0,835,0,3
209197,0,827,0,4
209198,0,805,0,3
209199,0,804,0,3
209200,0,818,0,3
209201,0,827,0,4
209202,0,791,0,3
209203,0,835,0,3
209204,0,806,0,3
209205,0,815,0,3
209206,0,824,0,3
209207,0,800,0,3
209208,0,834,0,3
209209,0,847,0,3
209210,0,823,0,3
209211,0,829,0,3
209212,0,803,0,4
209213,0,839,0,3
209214,0,829,0,3
209215,0,834,0,4
209216,0,812,0,3
209217,0,834,0,3
209218,0,810,0,3
209219,0,826,0,3
209220,0,825,0,3
209221,0,810,0,3
209222,0,816,0,3
209223,0,812,0,3
209224,0,810,0,3
209225,0,810,0,3
209226,0,813,0,4
209227,0,842,0,3
209228,0,838,0,3
209229,0,813,0,3
209230,0,813,0,3
209231,0,785,0,3
209232,0,829,0,3
209233,0,810,0,3
209234,0,839,0,3
209235,0,815,0,3
209236,0,824,0,3
209237,0,821,0,3
209238,0,829,0,3
209239,0,819,0,3
209240,0,835,0,3
209241,0,820,0,3
209242,0,833,0,3
209243,0,801,0,3
209244,0,806,0,3
209245,0,824,0,3
209246,0,810,0,3
209247,0,821,0,3
209248,0,812,0,3
209249,0,837,0,3
209250,0,849,0,3
209251,0,819,0,3
209252,0,813,0,3
209253,0,822,0,4
209254,0,841,0,3
209255,0,817,0,4
209256,0,830,0,3
209257,0,819,0,3
209258,0,783,0,3
209259,0,795,0,3
209260,0,821,0,3
209261,0,832,0,3
209262,0,811,0,3
209263,0,806,0,3
209264,0,829,0,3
209265,0,800,0,3
209266,0,828,0,4
209267,0,820,1,4
209268,0,815,0,3
209269,0,843,0,3
209270,0,829,0,3
209271,0,803,0,3
209272,0,801,0,3
209273,0,816,0,3
209274,0,820,0,3
209275,0,829,0,3
209276,0,821,0,3
209277,0,844,0,3
209278,0,852,0,3
209279,0,804,0,3
209280,0,823,0,3
209281,0,842,0,4
209282,0,793,0,3
209283,0,839,0,4
209284,0,823,0,3
209285,0,810,0,3
209286,0,819,0,3
209287,0,816,0,3
209288,0,796,0,3
209289,0,802,0,3
209290,0,799,0,3
209291,0,818,0,4
209292,0,845,0,3
209293,0,817,0,3
209294,0,784,0,3
209295,0,798,0,3
209296,0,841,0,3
209297,0,812,0,4
209298,0,788,0,3
209299,0,815,0,3
209300,0,814,0,4
209301,0,821,0,3
209302,0,791,0,3
209303,0,843,0,3
209304,0,832,0,3
209305,0,808,0,3
209306,0,809,0,3
209307,0,849,0,3
