cycle      , unique_vpns, max_counter, mean_counter   , median_counter, std_counter        , approx_ws_ge_1, approx_ws_ge_4, approx_ws_ge_16, approx_ws_ge_32, common_vpns, new_vpns, pages_accessed_flag
10540884740,        4096,          56,  8.07421875    ,            8.0,  7.057199295021251 ,           2912,           2860,             506,              34,        3191,      905,                2070
10550886006,        4096,          79,  7.911376953125,            8.0,  7.233562147807095 ,           2871,           2827,             455,              36,        3134,      962,                2036
10560886043,        4096,         149,  8.054443359375,            8.0,  7.435445802370895 ,           2918,           2867,             498,              36,        3129,      967,                2014
10570886191,        4096,          79,  7.894287109375,            8.0,  7.02824981683781  ,           2917,           2858,             459,              27,        3197,      899,                2082
10580887183,        4096,         100,  7.946533203125,            8.0,  6.997720240711036 ,           2914,           2858,             474,              28,        3176,      920,                2068
10590887205,        4096,          59,  7.778076171875,            8.0,  6.956955953765651 ,           2886,           2841,             446,              33,        3159,      937,                2049
10600887653,        4096,          70,  7.993408203125,            8.0,  6.933043719758945 ,           2950,           2894,             465,              30,        3186,      910,                2069
10610887979,        4096,          67,  7.7763671875  ,            8.0,  6.890450542429961 ,           2905,           2860,             413,              30,        3207,      889,                2092
10620888690,        4096,          72,  8.079345703125,            8.0,  7.284622553281028 ,           2933,           2892,             491,              39,        3179,      917,                2068
10630888873,        4096,          73,  7.76708984375 ,            8.0,  7.039748400803512 ,           2881,           2844,             439,              33,        3154,      942,                2042
10640889006,        4096,          64,  7.597412109375,            8.0,  6.644082419224427 ,           2931,           2882,             371,              25,        3223,      873,                2100
10650889433,        4096,          70,  7.682861328125,            8.0,  6.887684265932663 ,           2922,           2879,             436,              29,        3215,      881,                2103
10661143133,        4096,         126,  7.677978515625,            8.0,  6.890682639748106 ,           3000,           2961,             392,              23,        3236,      860,                2162
10671144694,        4096,          66,  7.73046875    ,            8.0,  7.096269471015981 ,           2889,           2844,             387,              43,        3148,      948,                2083
10681145016,        4096,          60,  7.68310546875 ,            8.0,  6.60009082890636  ,           2943,           2897,             397,              21,        3176,      920,                2073
10691145196,        4096,          72,  7.776123046875,            8.0,  6.774508905207408 ,           2965,           2920,             429,              32,        3215,      881,                2107
10701146293,        4096,          59,  7.30224609375 ,            7.0,  6.52526301807543  ,           2851,           2817,             378,              17,        3165,      931,                2063
10711146627,        4096,          45,  7.54541015625 ,            8.0,  6.518295198340541 ,           2922,           2881,             390,              22,        3138,      958,                2018
10721147663,        4096,          85,  7.540771484375,            8.0,  6.647279591480402 ,           2936,           2895,             383,              24,        3205,      891,                2100
10731523598,        4096,         176,  7.46875       ,            7.0,  7.0734497528610465,           2987,           2945,             356,              26,        3234,      862,                2146
10741523776,        4096,          67,  7.583740234375,            8.0,  6.794688533012152 ,           2906,           2868,             385,              33,        3185,      911,                2108
10751524392,        4096,          45,  7.385498046875,            7.0,  6.2919742596406545,           2927,           2882,             365,              14,        3155,      941,                2052
10761525335,        4096,         109,  7.550048828125,            8.0,  6.577359293139863 ,           2954,           2914,             374,              22,        3181,      915,                2087
