cycle      , unique_vpns, max_counter, mean_counter  , median_counter, std_counter         , approx_ws_ge_1, approx_ws_ge_4, approx_ws_ge_16, approx_ws_ge_32, common_vpns, new_vpns, pages_accessed_flag
10803973234,        4096,           7, 0.51416015625 ,            0.0, 0.7223379722989617  ,           1663,             15,               0,               0,        4095,        1,                1469
10804973743,        4096,           6, 0.50634765625 ,            0.0, 0.728506297852072   ,           1634,             19,               0,               0,        4095,        1,                1444
10805974798,        4096,           5, 0.51416015625 ,            0.0, 0.7363966042323766  ,           1630,             17,               0,               0,        4095,        1,                1455
10806976300,        4096,           6, 0.530029296875,            0.0, 0.7402204849429616  ,           1673,             15,               0,               0,        4095,        1,                1499
10807977130,        4096,           6, 0.512939453125,            0.0, 0.7290890561535168  ,           1635,             14,               0,               0,        4095,        1,                1421
10808978254,        4096,           5, 0.503662109375,            0.0, 0.7139693368450255  ,           1625,             16,               0,               0,        4095,        1,                1419
10809978295,        4096,           5, 0.520751953125,            0.0, 0.7315831379217934  ,           1655,             13,               0,               0,        4094,        2,                1480
10810979036,        4096,           6, 0.517822265625,            0.0, 0.7363170754491518  ,           1634,             14,               0,               0,        4095,        1,                1454
10811979414,        4096,           6, 0.523193359375,            0.0, 0.7311759829759878  ,           1663,             13,               0,               0,        4095,        1,                1471
10812979417,        4096,           6, 0.52587890625 ,            0.0, 0.7393872892208141  ,           1664,             13,               0,               0,        4093,        3,                1466
10814333070,        4096,           3, 0.2119140625  ,            0.0, 0.45555881767862433 ,            792,              0,               0,               0,        4095,        1,                 452
10815334103,        4096,           4, 0.3955078125  ,            0.0, 0.6114302967235634  ,           1370,              2,               0,               0,        4095,        1,                1335
10816334583,        4096,           6, 0.568115234375,            0.0, 0.7330433154637171  ,           1813,              8,               0,               0,        4094,        2,                1721
10817335075,        4096,           5, 0.598876953125,            0.0, 0.7535649055593795  ,           1886,             11,               0,               0,        4094,        2,                1660
10818335281,        4096,           5, 0.55078125    ,            0.0, 0.716272479332019   ,           1794,              9,               0,               0,        4095,        1,                1517
10819335583,        4096,           5, 0.56201171875 ,            0.0, 0.7255535708944384  ,           1812,             11,               0,               0,        4094,        2,                1612
