cycle      , unique_vpns, max_counter, mean_counter  , median_counter, std_counter         , approx_ws_ge_1, approx_ws_ge_4, approx_ws_ge_16, approx_ws_ge_32, common_vpns, new_vpns, pages_accessed_flag
   26771239,        4096,          22, 0.356689453125,            0.0, 0.9694902299169335  ,           1067,             43,               1,               0,           0,     4096,                   0
   27771492,        4096,          25, 0.561767578125,            0.0, 1.137771774145664   ,           1772,             54,               4,               0,        4050,       46,                1645
   28778211,        4096,          15, 0.362060546875,            0.0, 0.9672448247582284  ,           1085,             58,               0,               0,        4044,       52,                 875
   29778397,        4096,          14, 0.0556640625  ,            0.0, 0.44230304192487313 ,            126,              7,               0,               0,        4065,       31,                  74
   30778417,        4096,          10, 0.030029296875,            0.0, 0.36353112927807585 ,             57,             11,               0,               0,        4086,       10,                   0
   31778762,        4096,          19, 0.152099609375,            0.0, 0.7342489824323711  ,            407,             35,               1,               0,        4060,       36,                 360
   32780585,        4096,          10, 0.06494140625 ,            0.0, 0.5914275272628697  ,             73,             26,               0,               0,        4075,       21,                  10
   33781905,        4096,          11, 0.08056640625 ,            0.0, 0.6664777925287233  ,             89,             39,               0,               0,        4062,       34,                   6
   34788088,        4096,          24, 0.12255859375 ,            0.0, 0.9647694918207262  ,            107,             54,               1,               0,        4042,       54,                  17
   35823996,        4096,          14, 0.087890625   ,            0.0, 0.6903986080787746  ,             98,             44,               0,               0,        4055,       41,                  14
   36824815,        4096,           6, 0.04541015625 ,            0.0, 0.3728956944768209  ,             80,             16,               0,               0,        4072,       24,                  15
   37825215,        4096,          23, 0.027099609375,            0.0, 0.42273983789882214 ,             56,              3,               1,               0,        4090,        6,                   6
   38827142,        4096,          13, 0.02099609375 ,            0.0, 0.3717943504778431  ,             29,              8,               0,               0,        4088,        8,                   1
   39828748,        4096,           6, 0.0087890625  ,            0.0, 0.19243733364493257 ,             11,              5,               0,               0,        4093,        3,                   0
   40830205,        4096,          10, 0.01416015625 ,            0.0, 0.28176112883961757 ,             16,              7,               0,               0,        4089,        7,                   0
   41832076,        4096,          30, 0.02392578125 ,            0.0, 0.5541161832067145  ,             20,             11,               1,               0,        4087,        9,                   0
   42832226,        4096,          15, 0.080810546875,            0.0, 0.7973729615987512  ,             56,             43,               0,               0,        4054,       42,                   2
   43832503,        4096,          27, 0.501220703125,            0.0, 1.0845589154738808  ,           1596,             63,               3,               0,        4034,       62,                1517
   44832785,        4096,          13, 0.273681640625,            0.0, 0.663686084651327   ,            946,             19,               0,               0,        4063,       33,                 823
   45832822,        4096,          15, 0.42724609375 ,            0.0, 0.8786641105253852  ,           1372,             42,               0,               0,        4054,       42,                1287
   46832847,        4096,          12, 0.145263671875,            0.0, 0.7235856549216494  ,            345,             37,               0,               0,        4057,       39,                 173
   47833444,        4096,           7, 0.03173828125 ,            0.0, 0.29058888528864263 ,             71,              4,               0,               0,        4073,       23,                  28
   48834083,        4096,           8, 0.015625      ,            0.0, 0.22480460265528374 ,             37,              4,               0,               0,        4090,        6,                   4
   49834202,        4096,          14, 0.06494140625 ,            0.0, 0.5975874318911606  ,            118,             25,               0,               0,        4053,       43,                  88
   50834578,        4096,          19, 0.052734375   ,            0.0, 0.4857865960927281  ,            114,             14,               1,               0,        4071,       25,                  86
   51834754,        4096,          12, 0.16259765625 ,            0.0, 0.5945122493960968  ,            534,             19,               0,               0,        4079,       17,                 493
   52834931,        4096,          19, 0.035400390625,            0.0, 0.44684957952156273 ,             60,             11,               1,               0,        4075,       21,                  32
   53835825,        4096,          20, 0.031005859375,            0.0, 0.5273436934859634  ,             35,              9,               2,               0,        4088,        8,                   7
   54836508,        4096,          10, 0.099609375   ,            0.0, 0.5255575942864011  ,            304,             16,               0,               0,        4082,       14,                 276
